pokemon,total_use,item1,item1_cnt,item1_rate,item2,item2_cnt,item2_rate,item3,item3_cnt,item3_rate,item4,item4_cnt,item4_rate,item5,item5_cnt,item5_rate
ファイアロー,1,持ち物なし,1,100.0,,,,,,,,,,,,
エンニュート,1,たべのこし,1,100.0,,,,,,,,,,,,
ヤドラン（ガラルのすがた）,1,オボンのみ,1,100.0,,,,,,,,,,,,
ヒヤッキー,1,ゴルーグナイト,1,100.0,,,,,,,,,,,,
アマージョ,1,オボンのみ,1,100.0,,,,,,,,,,,,
クレッフィ,1,たべのこし,1,100.0,,,,,,,,,,,,
カイリキー,1,きあいのタスキ,1,100.0,,,,,,,,,,,,
ケンタロス（パルデアのすがた・ブレイズしゅ）,1,もくたん,1,100.0,,,,,,,,,,,,
タブンネ,1,ヨプのみ,1,100.0,,,,,,,,,,,,
マニューラ,1,こだわりスカーフ,1,100.0,,,,,,,,,,,,
ヘルガー,1,ヘルガナイト,1,100.0,,,,,,,,,,,,
エモンガ,1,ラムのみ,1,100.0,,,,,,,,,,,,
コータス,1,ラムのみ,1,100.0,,,,,,,,,,,,
リキキリン,1,オボンのみ,1,100.0,,,,,,,,,,,,
